Time,Value
528.0,0.0012525668
532.0,2.3907688E-4
536.0,0.0030320399
540.0,7.4660574E-4
544.0,-0.0018456636
548.0,5.4781674E-4
552.0,-3.6170715E-4
556.0,-0.0033670897
560.0,-0.0012079532
564.0,-2.8996496E-4
568.0,-0.002860771
572.0,-0.001146235
576.0,0.001139615
580.0,-8.1440527E-4
584.0,-1.3967014E-4
588.0,0.00255387
592.0,9.817966E-4
596.0,2.1790522E-4
600.0,0.002482076
604.0,0.0013016918
608.0,-6.3648645E-4
612.0,9.4227656E-4
616.0,5.1262643E-4
620.0,-0.0017893083
624.0,-7.1607E-4
628.0,-5.88448E-5
632.0,-0.0019424133
636.0,-0.0012445388
640.0,3.1523337E-4
644.0,-8.681298E-4
648.0,-7.0041197E-4
652.0,0.0011445568
656.0,5.017973E-4
660.0,-8.248904E-5
664.0,0.001371973
668.0,0.0010797142
672.0,-1.4446066E-4
676.0,6.519268E-4
680.0,7.122315E-4
684.0,-6.748985E-4
688.0,-3.9181244E-4
692.0,1.4889488E-4
696.0,-8.845297E-4
700.0,-8.8090537E-4
704.0,5.9606016E-5
708.0,-3.8908538E-4
712.0,-6.249321E-4
716.0,3.681164E-4
720.0,3.687052E-4
724.0,-1.3162341E-4
728.0,4.8459225E-4
732.0,5.8559503E-4
736.0,1.0249907E-5
740.0,6.374869E-5
744.0,9.121359E-5
748.0,-8.638593E-6
752.0,-0.0
